ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
1113,Sea and coastal freight water transport,50201 (EMTAK 2008),50.2,Annual report
1114,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report
1117,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.1,Annual report
1118,"Trusts, funds and similar financial entities",64301 (EMTAK 2008),64.3,Electronic submission
1120,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report
1123,Public relations and communication activities,70211 (EMTAK 2008),70.21,Electronic submission
1125,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
1127,Activities of holding companies,64201 (EMTAK 2008),64.2,The undertaking notified himself/herself
1128,Other transportation support activities,5229 (EMTAK 2008),52.29,Annual report
1129,Support activities to performing arts,90021 (EMTAK 2008),90.02,Annual report
1130,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
1131,Fund management activities,66301 (EMTAK 2008),66.3,Electronic submission
1132,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission
1133,Manufacture of other articles of paper and paperboard,17291 (EMTAK 2008),17.29,Annual report
1134,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report
1136,Advertising agencies,73111 (EMTAK 2008),73.11,Annual report
1137,Installation of electrical wiring and fittings,43211 (EMTAK 2008),43.21,Electronic submission
1138,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report
1139,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
1140,"Trusts, funds and similar financial entities",64301 (EMTAK 2008),64.3,Electronic submission
1141,General cleaning of buildings,81211 (EMTAK 2008),81.21,Annual report
1145,Retail sale of watches and jewellery in specialised stores,47771 (EMTAK 2008),47.77,Electronic submission
1146,Activities of holding companies,64201 (EMTAK 2008),64.2,The undertaking notified himself/herself
1147,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.1,Electronic submission
1148,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission
1149,"Data processing, hosting and related activities",63111 (EMTAK 2008),63.11,Electronic submission
1150,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Annual report
1151,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report
1152,Other sprts activities not classified elsewhere,93199 (EMTAK 2008),93.19,Annual report
1153,Sale of cars and light motor vehicles,45111 (EMTAK 2008),45.11,Annual report
1154,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report
